a	f	g	m	t	c	,	f	c	3	7	e	d	d	e	2	3	3	5	3	9	7	a	4	0	3	4	5	c	8	8	f	2	5	c	3	1	9	d	7	e	4	6	5	c	6	2	a	b	2	0	7	3	7	2	4	2	4	3	1	d	7	c	c	d	f	5	e	b	5	7
k	g	x	q	m	o	,	3	7	0	f	f	d	2	6	3	5	b	8	c	c	e	7	1	9	5	c	3	1	d	6	b	5	c	f	5	f	5	9	8	e	6	2	2	2	c	f	4	2	9	8	1	3	4	a	6	6	1	7	a	4	f	c	e	d	a	e	b	c	1	3
q	a	a	e	c	d	,	1	f	2	a	9	f	7	3	9	4	e	f	9	1	2	e	4	d	2	2	3	7	0	8	8	8	3	0	f	b	3	4	e	1	0	5	a	4	c	b	9	3	5	3	f	0	6	9	c	b	0	5	1	2	a	a	b	f	2	8	f	2	8	9
k	a	q	n	u	l	,	2	9	e	0	e	0	0	1	a	e	7	2	4	0	c	5	6	9	6	4	3	6	8	7	4	a	8	e	f	1	8	6	d	8	4	c	c	e	0	4	f	7	b	1	8	0	e	3	b	d	1	1	e	0	e	9	d	9	c	4	3	d	5	a
x	y	x	j	l	o	,	9	6	8	e	7	2	5	f	7	b	5	9	2	8	e	d	3	d	d	b	b	e	7	6	d	6	a	f	3	e	1	5	6	c	a	4	9	4	3	e	8	8	f	9	3	7	f	4	4	5	8	8	d	e	1	5	e	b	5	f	f	5	1	1
k	f	f	o	u	l	,	0	1	5	0	2	c	6	d	b	9	3	b	b	5	b	6	0	7	0	3	a	9	3	9	9	b	7	0	5	5	0	1	b	f	b	2	a	f	6	8	e	a	d	2	f	3	f	0	f	3	1	d	2	c	c	3	a	6	0	5	e	a	f	a
y	g	p	g	y	n	,	b	8	c	9	8	b	d	5	d	0	4	c	b	a	0	4	8	4	4	f	5	8	f	f	d	c	8	1	c	0	d	9	3	3	3	7	9	9	8	1	1	a	9	e	a	f	f	8	a	4	7	a	d	a	b	7	a	8	5	6	7	9	1	d
f	j	g	m	l	a	,	4	3	3	8	6	7	0	e	f	8	3	0	c	b	e	d	7	a	4	c	1	a	9	b	d	e	3	c	7	c	0	a	a	9	0	3	f	b	3	4	4	6	d	b	5	d	7	9	e	7	1	d	c	2	c	b	d	e	b	4	a	0	7	1
h	d	p	i	n	q	,	b	a	e	e	7	2	4	3	9	3	b	6	b	e	3	f	8	5	8	0	a	9	e	4	0	3	6	b	f	0	9	0	1	c	c	1	e	1	2	3	f	2	4	5	c	7	a	b	f	1	d	c	3	3	0	9	d	3	1	b	6	a	e	0
n	k	j	e	z	v	,	2	7	7	1	b	7	d	7	f	2	0	f	b	a	7	9	9	e	9	8	6	f	8	7	e	5	8	4	8	4	c	6	6	3	0	a	1	f	f	4	7	d	4	1	c	6	9	9	e	0	0	d	3	9	8	5	d	1	0	0	b	6	b	f
o	f	r	b	e	l	,	d	e	c	5	8	2	3	1	9	0	8	3	2	6	5	d	1	a	f	9	a	9	9	2	f	6	c	3	6	f	4	5	b	0	2	d	6	4	2	9	2	e	e	7	3	3	0	7	7	5	e	6	d	5	4	6	2	a	b	1	e	1	d	7
j	s	v	s	d	q	,	2	3	4	c	1	e	d	6	6	c	d	8	e	8	3	e	a	8	0	9	3	3	9	9	9	1	0	3	0	9	d	b	3	d	6	1	6	7	9	c	4	8	b	c	9	b	b	3	3	e	a	9	c	1	9	3	7	9	6	7	d	f	8	7
j	e	g	e	o	t	,	e	d	f	7	6	f	8	b	5	f	f	3	0	0	0	1	c	5	0	4	1	d	3	1	2	f	b	a	1	a	e	0	8	3	7	a	c	0	9	8	e	c	c	6	c	7	0	2	3	a	a	3	4	7	e	b	7	0	6	6	9	4	e	1
e	f	c	n	i	i	,	f	e	d	f	9	7	3	1	8	9	8	c	3	9	1	6	8	6	e	d	f	0	b	3	c	b	5	c	9	f	f	d	c	7	8	b	b	9	8	d	2	6	6	e	a	0	6	8	a	4	0	1	0	6	c	c	d	b	1	4	f	1	2	8
h	o	f	o	y	w	,	9	a	c	4	9	0	7	0	c	8	e	1	2	e	1	8	e	8	1	a	a	b	0	5	2	4	b	0	e	2	0	4	b	b	9	7	9	6	8	b	0	e	0	6	1	f	9	4	4	7	5	0	0	8	2	d	7	f	c	1	6	f	1	a
j	q	i	q	o	l	,	e	4	4	5	2	a	d	3	6	7	5	3	7	4	4	b	f	8	7	9	0	d	d	b	d	1	a	8	0	0	5	e	b	5	c	c	a	9	f	2	1	5	2	e	2	c	4	0	b	7	8	f	9	6	9	8	5	d	4	9	b	7	4	5
d	k	d	x	q	q	,	2	d	1	6	e	d	5	e	5	f	c	1	f	6	b	b	f	f	2	a	7	1	4	0	9	1	c	b	c	1	6	1	5	9	1	2	0	5	9	b	3	0	e	f	d	0	b	8	e	1	e	6	8	8	0	8	b	c	f	7	7	d	6	f
